Centris no,Type,Date Listed,Status,Address,Size,Active price,Taxes,Old prices,Zoning,Coordinates,Description
21587459,Lot for sale,2023-06-20,Active,"2761, boulevard Mercure, Drummondville, Neighbourhood Drummondville",38255 sqft,149900,NO,"0,00",Residential,45.8263240300--72.4165042300,"Ce vaste terrain résidentiel de 38255 pieds carrés situé en pleine ville, à proximité des principaux axes routiers du secteur, est une rareté sur le marché. Avantageusement localisé du côté peu passant du Boulevard Mercure, sa profondeur, sa forme et ses boisés matures optimise son intimité. Ce lot est idéal pour y réaliser votre projet de construction de rêves, en synergie avec la nature, mais avec tous les avantages de la vie urbaine."
22475797,Lot for sale,2023-06-20,Active,"1183, Rue Locklomen, Hinchinbrooke",31051 sqft,19000,NO,"0,00",Residential,44.9946083700--74.0848273400,Propriété boisée en bordure des lignes américaine. Idéal pour ceux qui veulent s'évader du centre ville et relaxer sur le propre terrain boisée. Douane frontalière a proximité.  Voir note supplémentaire sur l'addenda.
24537451,Lot for sale,2023-06-20,Active,"6, Chemin Wood, Low",46902 sqft,69900,NO,"0,00",Residential,45.8551057900--75.9228563500,"Large 1.7 acre lot with views of the Gatineau river.  Private road with right of way. Zoned for a variety of other project possibilities such as mixed agricultural, recreational or forestry, which means you can build your dream home and have ample space to enjoy your hobbies and interests. Just 45 mins from Ottawa!"
15977388,Lot for sale,2023-06-20,Active,"1586, Chemin Tour-du-Lac Nord, Lac-Sergent",43277 sqft,149900,NO,"0,00",Residential,46.8647033000--71.7284187800,Terrain de 43900 p.c avec zonage résidentiel. Le terrain vient avec un droit de passage au lac pour une embarcation non motorisé.
16918103,Lot for sale,2023-06-20,Active,"boulevard Saint-Francois, Lac-des-Écorces, Neighbourhood Lac-des-Écorces",5210212 sqft,739000,NO,"0,00","Agricultural, Commercial, Forest, Industrial, Recreational and tourism, Residential, Resort",46.5437595200--75.2307167200,"Magnificent 120 acres offering endless possibilities! Possibility to subdivide into several lots, build cottages, triplexes, businesses, restaurants, sugar shacks, cultivate the land, etc... See zoning grid! This dream property even has a lake on its lot! Contact me quickly at 514-978-5699!"
21723129,Lot for sale,2023-06-20,Active,"975, Rue de l'Harricana, Malartic",4325 sqft,19300,YES,"0,00","Other, Residential",48.1393680000--78.1294830000,"Terrain à vendre. Beau terrain à vendre dans quartier familiale de la ville de Malartic. Les services municipaux sont inclus et la proximité des commerces tels que la pharmacie, les dépanneurs, restaurant et les parcs rendront votre quotidien plus facile. Vous aviez un projet de construction résidentiel en tête ? C'est le moment de le réaliser !"
15002670,Lot for sale,2023-06-20,Active,"Promenade du Soleil Nord, Low",45141 sqft,80000,YES,"0,00",Residential,45.7777973000--75.9442398100,Consult
26422094,Lot for sale,2023-06-20,Active,"1881B, Chemin du Bord-du-Lac, Montréal (L'Île-Bizard/Sainte-Geneviève), Neighbourhood L'Île-Bizard",10512 sqft,288000,YES,"0,00",Residential,45.5026180000--73.9112590000,"Beautiful flat lot, near Lac des Deux-Montagnes, non-flood zone, facing the golf course, street corner, quiet, safe bet. Rare large lot of 10,996 square foot for single-family residence. Close to many services such as highway, schools, daycare, golf, parks. No municipal services. Requires a septic tank and an artesian well. Ready to build."
18825117,Lot for sale,2023-06-20,Active,"241, Rue Saint-Joseph, Sainte-Martine",5000 sqft,175000,NO,"0,00","Commercial, Residential",45.2517050800--73.7980557100,Terrain de 50x100 de 5000 pieds carrés plusieurs possibilités de constructions voir la grille de zonage.
26101089,Lot for sale,2023-06-20,Active,"Chemin Ritchot, Gracefield, Neighbourhood Wright",174240 sqft,94900,YES,"0,00",Residential,46.1545196400--76.1385292500,Magnifique terrain de plus de 4 acres boisé sur le bord de l'eau. Terrain numéro 7 sur le plan.
17052784,Lot for sale,2023-06-20,Active,"Chemin de l'Orignal, Sainte-Thècle",47975 sqft,255000,YES,"0,00",Residential,46.8019174500--72.6153340200,"#27 ** MAQGNIFIQUES TERRAINS BORDÉS PAR L'EAU **  Nouveau développement situé en bordure du lac Archange à la limite de Sainte-Thècle et de Grandes-Piles, dans la MRC Mékinac, en Mauricie. Plus d'une dizaine de terrains disponibles, rue privée qui vous assure un maximum de quiétude. C'est un rendez-vous avec la nature ! À environ 5 km du village.  Contactez-nous pour plus d'informations! C'est ça l'Équipe Bruneau-Côté!"
24991188,Lot for sale,2023-06-20,Active,"28, Rue de la Coupe, Lévis (Les Chutes-de-la-Chaudière-Est), Neighbourhood Sainte-Hélène-de-Breakeyville",8387 sqft,165000,YES,"0,00",Residential,46.6663267700--71.2211904600,terrain situé dans le secteur du Golf La Tempête et prêt à construire. Construction de la maison par Dureco inc uniquement.Carte des terrains au www.dureco.ca.
25012794,Lot for sale,2023-06-20,Active,"Chemin Mireault, Ripon",41474 sqft,79000,YES,"0,00",Residential,45.8305396500--75.0702333800,"WATERFRONT 1.07 acre wooded lot in a peaceful setting on a private road on Rivière de la Petite Nation. A sloped lot with easy access to the river bank and a large cleared level area at the top of the property by the road, ideal location for your dream home. The river and surrounding area provide many options for outdoor and water activities like kayak, canoe, hiking, fishing, quad trails nearby. Located at the intersection of routes 317 and 321, less than 15 mins. from Lac Simon, 7 mins from Ripon's town centre, 10 mins from a school, grocery store, restaurants, cafés, shops and services in Saint-André-Avelin and 1 hour to Gatineau/Ottawa."
25061084,Lot for sale,2023-06-20,Active,"Montée Saint-Claude, Saint-Philippe",3161 sqft,165000,NO,"0,00",Residential,45.3643994500--73.4497936900,"Possibilité d`acheter une roulotte Catalinas 2020 39 pieds pour 50,000.00$"
10762371,Lot for sale,2023-06-20,Active,"22Z, Chemin de l'Aigle, Val-des-Monts, Neighbourhood Perkins",61107 sqft,98500,NO,"0,00",Residential,45.6539942400--75.6170210200,"Magnifique terrain de plus 1,4 acre, très facile d'accès ce terrain n'attends que vous pour construire la maison de vos rêves. Avant-projet de construction commencer. Terrain plat et boisé. Possibilité d'acheter avec le deuxième terrain au 22Z Ch. De L'Aigle d'1,4 acre aussi. Veuillez contacter Samuel Lafleur 819-955-1369 pour avoir plus d'informations. (À noter que l'évaluation municipale est pour les 2 terrains au 22 Ch. De L'Aigle et 22Z Ch. De L'Aigle et que le lot 1 659 342 sera subdivisé sous peu.)"
19225185,Lot for sale,2023-06-20,Active,"Rang 5, Sainte-Marguerite-du-Lac-Masson",4062419 sqft,2780000,NO,"0,00",Residential,46.0523381600--73.9999695600,"ideal for a development project. The site includes a small lake and a belvedere. The zoning is R-61 allowing for single-family construction, community recreational projects, agriculture, forestry and others."
17382585,Lot for sale,2023-06-20,Active,"3945, boulevard Saint-Martin Ouest, Laval (Chomedey), Neighbourhood Carrefour Saint-Martin",10075 sqft,1099900,NO,"0,00",Residential,45.5512990000--73.7611560000,Consult
12022459,Lot for sale,2023-06-20,Active,"48, Rue des Saules, Notre-Dame-de-la-Salette",13078 sqft,69900,NO,"0,00","Commercial, Residential",45.7665258700--75.5835688800,"For your commercial or a residential project in the heart of the municipality of  Notre-Dame-De-La-Salette, land of approximately  1215 Square meters.  Possibility of financing, by seller for your construction project. 4 plex allowed."
17228068,Lot for sale,2023-06-20,Active,"2407, Rue Sainte-Marie, Sainte-Sophie",40000 sqft,15,YES,"0,00","Commercial, Residential",45.8158473600--73.9054683900,"- vendu pour le terrain, les immeubles seront détruits au frais du vendeur. - le terrain sera subdiviser par le vendeur, 40 000 pi carré - un nouveau certificat de localisation sera fourni  - la municipalité a confirmé que les services seront offert en 2023  - la municipalité a confirmé que le zonage sera commercial. - terrain vendu avec le terrain voisin, no cadastre 4548697.  Ne peut être vendu séparément. Superficie total de 245 000 pieds carrés"
21935333,Lot for sale,2023-06-20,Active,"1138Z, Rue Notre-Dame, Repentigny (Repentigny)",10109 sqft,599000,NO,"0,00",Residential,45.7754800000--73.4099610000,Terrain de + de 10 000 pc avec zonage résidentiel H1 sur place un duplex avec garage très bien situé à Repentigny. Deux grands logements avec 3 chambres chacun. Grand sous-sol à aménager. La cour est spacieuse. Très Bons Potentiel pour un investisseur ou propriétaire occupant. Informez-vous à la ville pour votre projet. Près de tous les services! Une situation géographique idéale! voir NO MLS 13036342
14926680,Lot for sale,2023-06-20,Active,"Route La Fontaine, Entrelacs",83191 sqft,599900,NO,"0,00",Residential,46.1127811400--73.9904100700,"Immense terrain boisé de 83 191 pieds carrés avec orientation franc Sud situé dans la plus belle section du lac Patrick directement sur le bord de l'eau (227 pieds de largeur bordé par l'eau). Situé à moins de 1 heure de Montréal. Il s'agit d'un lac navigable à moteur ensemencé et avec fond de sable. Descente en gravier vers le lac déjà en place. Endroit idéal pour les amateurs de plein air. Le propriétaire est entrepreneur et offre la possibilité de construire une propriété sur le terrain. Endroit splendide en pleine nature prêt à accueillir la propriété de vos rêves, à qui la chance!"
10552775,Lot for sale,2023-06-20,Active,"168, Chemin Gaudreau, Notre-Dame-des-Bois",41604 sqft,82500,NO,"0,00","Residential, Resort",45.3910301400--70.9949121900,OPPORTUNITÉ UNIQUE! Vous rêver de vous construire la maison de vos rêves en montagne? Voici le terrain qu'il vous faut! Le 168 ch. Gaudreau est situé dans le prestigieux Domaine des Appalaches au sommet de la montagne. Magnifique terrain de plus d'un acre  prêt à construire avec entrée aménagée et chemin d'accès à un plateau pour accueillir votre future construction.  La possibilité de vous créer votre propre vue sur la magnifique chaine de montagnes des Appalaches fait de ce terrain une perle rare. À QUI LA CHANCE?
27041722,Lot for sale,2023-06-20,Active,"51, Chemin Butternut, La Pêche, Neighbourhood Wakefield",43060 sqft,78000,NO,"0,00",Residential,45.6394990100--75.8366307000,"Beautiful one acre lot with an exceptional view of the Edelweiss Valley. Build your dream home on one of the plateaus. This rapidly developing neighborhood will charm you, several families have settled there in the last few years. Close to a park and a few steps from the ski center, golf and trails to discover. Nature is only a few minutes away from the highway."
19331451,Lot for sale,2023-06-20,Active,"Place Passaretti, Lac-Simon",46604 sqft,299900,NO,"0,00",Residential,45.8724203600--75.0924738500,"NOTARIZED ACCESS to magnificent LAC SIMON with SANDY BEACH! Superb FLAT wooded lot of over an acre located close to all services & less than 25 minutes from HWY 50. Peaceful environment & low traffic street, ideal for building the house of your dreams! About 1 hour from Gatineau/Ottawa, 1 hour 45 minutes from Montreal. RARE & sought after product!"
15570281,Lot for sale,2023-06-20,Active,"Route 309, Notre-Dame-de-la-Salette",64067 sqft,35000,NO,"0,00",Residential,45.7137990000--75.5546310000,"Jolie terrain, prêt a accueillir votre prochaine maison."
25135778,Lot for sale,2023-06-20,Active,"270, Rue Arthur-Fecteau, Senneterre - Ville, Neighbourhood Senneterre",17214 sqft,47000,YES,"0,00",Residential,48.3946756000--77.2263336200,"Magnifique terrain de ville situé avec vue sur la rivière Bell. Ce superbe terrain de ville donne une vue imprenable sur l'eau et est situé dans un quartier en développement. En plus, ce terrain est raccordé aux services municipaux et est prêt pour construire dès maintenant."
25422721,Lot for sale,2023-06-20,Active,"Chemin du Val-des-Bois, Saint-Adolphe-d'Howard",8908 sqft,28000,NO,"0,00",Residential,45.9617880400--74.4259231400,Beau terrain boisé situé dans le Domaine des Lacs. Secteur tranquille. Droits acquis de superficie. Desservi par les services d'électricité. Accès au Lac Pierre-Aubin et Garry moyennant une cotisation annuelle. À proximité du village de St-Adolphe d'Howard et à 1h de Montréal.
28979521,Lot for sale,2023-06-20,Active,"124C, Chemin Pink, Cantley, Neighbourhood Cantley",53033 sqft,160000,YES,"0,00",Residential,45.5495160000--75.7723900000,"Serene private wooded lot is ready to have your dream home built. Located on just under an acre surrounded by nature, you're only 20 minutes from Ottawa. Come see the potential!"
10782176,Lot for sale,2023-06-20,Active,"Chemin du Lac-Kri, Saint-Donat (Lanaudière)",52108 sqft,59883,NO,"0,00",Residential,46.3786133100--74.2581178300,"For sale or exchange!** WHO WANTS TO BUILD A CHALET OR SINGLE FAMILY!!!! Magnificent land! access a few minutes from Mont-Garceau and Mont-tremblant park. Build the house of your dreams on an intimate and wooded lot. For more EXCLUSIVE information, call 1 844 935 0876 #3041."
19085069,Lot for sale,2023-06-20,Active,"Route Marie-Victorin, Contrecoeur",18855 sqft,394000,NO,"0,00",Residential,45.8731368300--73.2217845600,Unique!! Superbe terrain constructible au bord de l'eau avec égout et aqueduc en façade (à être raccordés). Environnement de belles propriétés vue  imprenable avec un émondage tout près de la ville et ses services accès routiers faciles! Idéal pour construction unifamiliale!  la tranquillité relié à la campagne ! Superbe et unique! Faites vite
28513467,Lot for sale,2023-06-20,Active,"Rue du Lac-Noël, Saint-Colomban",34000 sqft,60000,NO,"0,00",Residential,45.7839976500--74.1634454800,"Magnifique terrain boisé de 34 000 pi2 situé à quelques pas du lac Noël et à moins de 15 minutes de St-Canut. Secteur paisible où il fait bon vivre, idéal pour les amants de la nature! Accès rapide au coeur du village et de ses commodités, école, parc, jeux d'eau, station service, pharmacie."
28743649,Lot for sale,2023-06-20,Active,"Route 343, Saint-Côme",199440 sqft,190000,NO,"0,00",Residential,46.2629306700--73.7230133100,"Venez découvrir cette beauté de la nature de 199 440 pc bordée par l'eau (lac) où les bateaux moteur sont interdit pour concerver une belle eau et pour la tranquilité sonore. Venez profiter de vos sports et loisirs favoris été comme hiver, chez vous, et à côté de chez vous. À proximité de Val St-Côme et qu'à 1h15 de Montréal. Parcourez les photos jusqu'au bout pour aller de découverte en découverte... Vraiment un magnifique emplacement. Allez aussi lire l'addenda!"
20007934,Lot for sale,2023-06-20,Active,"Rue Annie, Brownsburg-Chatham",7806 sqft,31500,YES,"0,00",Residential,45.6346151200--74.3977296100,Beautiful residential lot of 7806 sf near an exit from Highway 50. 2 other lots available in the same area.
19326508,Lot for sale,2023-06-20,Active,"8, Chemin du Huard, Val-des-Monts, Neighbourhood Perkins",40127 sqft,79900,NO,"0,00",Residential,45.6581040000--75.6153490000,Superbe terrain de près d'un acre situé dans un très beau secteur avec l'Association Tamagor vous donnant accès au Lac McGregor et au Lac Noir. Possibilité de bâtir les démarches ont déjà été commencer. Topographie plat du terrain. Un avant-projet concernant l'évacuation et le traitement des eaux usées et le prélèvement d'eau à été effectuer ainsi d'un analyse granulométrique. Les documents seront fourni sur demande. Le terrain peu être vendu avec le lot voisin du 8 Ch. Du Huard.
25227656,Lot for sale,2023-06-20,Active,"boulevard Cléroux, Laval (Sainte-Dorothée), Neighbourhood East Islemère",9000 sqft,145000,NO,"0,00",Residential,45.5473630100--73.8060006500,"INVESTISSEMENT*** EMPLACEMENT STRATÉGIQUE. Terrains résidentielle de très bon potentiel. Zoné T3.3-1015,ce type de milieux se compose de bâtiments isolés et jumelés d'un a 2 étages. Impossible de construire pour le moment, donc plus pour un developpement futur. L'acheteur devra faire ses propres recherches auprès de la ville."
15050541,Lot for sale,2023-06-20,Active,"D, Rue Coleraine, Thetford Mines, Neighbourhood Thetford Mines",8460 sqft,23265,YES,"0,00",Residential,46.0699840000--71.3098160000,Consult
24892213,Lot for sale,2023-06-20,Active,"Rue Sylvain, Saint-Calixte",38585 sqft,60000,NO,"0,00",Residential,45.9874147000--73.9278653600,"Terrain sur une rue paisible à St-Calixte, avec accès au Lac Beaudry et belle vue panoramique!"
28182485,Lot for sale,2023-06-20,Active,"Rue Jetté, Saint-Colomban",1673237 sqft,599000,NO,"0,00",Residential,45.7300234200--74.1236459000,"Très grand terrain avec plusieurs pistes dans le bois pour marcher, vélo de montagne. Il y a 2 cabanes sur le terrain ainsi qu'une petite maisonnette d'enfant en bois. Pour la construction il faut voir avec la ville de St-Colomban car il y a plusieurs restrictions."
23372147,Lot for sale,2023-06-20,Active,"Chemin Raoul-Mallette, Rigaud, Neighbourhood Rigaud",220639 sqft,599900,NO,"0,00",Residential,45.4392426900--74.2338634600,"Magnificent opportunity to acquire over 220,000 sq.ft. of land. According to the city, it would be possible to subdivide the land in two. However, it will be up to the buyer to take the necessary steps with the appropriate authorities to ensure this. Easy access to Highway 40, this lot is located in Rigaud, near Route 201. The lot is not serviced by water and sewer, so a septic tank and artesian well will be essential. All necessary tests and verifications will be at the buyer's expense."
12628094,Lot for sale,2023-06-20,Active,"Chemin Masson, Sainte-Marguerite-du-Lac-Masson",150859 sqft,195000,YES,"0,00",Residential,46.0716998700--74.1007449700,"Build a house of your dream in harmony with natural colors and murmur of brooks. Wooded lot of 3.5 acres located on Chemin Masson . 5 minutes drive to Sainte-Marguerite-du- Lac-Masson with its magnificent landscapes in all seasons and year-round activities for all ages, it has all the services needed to ensure a haven of peace and quiet for the whole family. 10 minutes drive from Val-David with its restaurants,cultural and tourist experience. Situated just 20 minutes from highway and one hour drive from Montreal. With the purchase of the lot you can choose free between 3 models of houses with implantation plan."
27637735,Lot for sale,2023-06-20,Active,"Chemin d'Entrelacs, Sainte-Marguerite-du-Lac-Masson",49678 sqft,84999,NO,"0,00",Residential,46.0904660000--74.0119510000,"Magnifique terrain en forêt sur le chemin d'Entrelacs, ayant une entrée donnant accès au terrain. Accès au Lac Brunet de l'autre côté du chemin d'Entrelacs. Terrain avec une vue."
17748412,Lot for sale,2023-06-20,Active,"Rue du Domaine-Bériv, Sainte-Marguerite-du-Lac-Masson",65998 sqft,95000,NO,"0,00",Residential,46.0143339400--74.0931649800,Consult
13225172,Lot for sale,2023-06-20,Active,"Rang Ducharme, Rouyn-Noranda, Neighbourhood Granada",54980 sqft,88000,YES,"0,00",Residential,48.1998602600--78.9531861300,"Beau grand terrain de campagne a 10 minutes de la ville, chemin cul de sac donc tranquillité vous rechercher la tranquillité et la proximité de la ville le voila"
25603296,Lot for sale,2023-06-20,Active,"145, Rue du Curé-Quenneville, Val-d'Or, Neighbourhood Sullivan",4640 sqft,69500,YES,"0,00",Residential,48.1265650000--77.8273080000,Développement à Sullivan pour maison uni modulaire seulement. À proximité de tous les services. Profiter de l'occasion de vous bâtir votre propre uni modulaire. Nous pouvons vous aider à la préparation du terrain et de la construction des Plans jusqu'à la remise des clés.
12995176,Lot for sale,2023-06-20,Active,"Rue des Pinsons, Magog",Residential Resort,74500,NO,"0,00",Access to a lake,45.1756718400--72.1677841100,"Vous êtes à la recherche d'un terrain boisé situé près d'un lac pour y construire votre maison de rêve ? Ne cherchez pas plus loin car je vous propose une merveilleuse opportunité . Située dans un secteur dès plus paisible , ce magnifique terrain est le point de départ pour votre futur projet . Imaginez vous réveiller avec le chant des oiseaux et l'odeur de la forêt, prêt à commencer une nouvelle journée dans un cadre paisible . Vous aimez la baignade, le kayak , la planche à Pagaie , faire du bateau ? Le lac Lovering offre un milieu de vie et un environnement magnifique, on y remarque une abondante biodiversité faunique et floristique."
11732749,Lot for sale,2023-06-20,Active,"Chemin Mountain House, Potton",53820 sqft,265000,NO,"0,00",Residential,45.0460616300--72.2832253600,Very nice lot with an absolutely extraordinary view on Lake Memphremagog. The land has been recently subdivided school taxes are not yet known. Clearing work is currently taking place and has not yet been completed.
22400312,Lot for sale,2023-06-20,Active,"Rue du Lis-Blanc, Saguenay (Chicoutimi), Neighbourhood Chicoutimi-Nord",6890 sqft,72000,YES,"0,00",Residential,48.4594134700--71.1118916900,"6 terrains disponible dans le secteur du Lis-Blanc à Chicoutimi Nord, sans voisin arrière, raccorder aux égouts, à l'eau et à l'électricité. Prise de possession rapide. Secteur tranquille dans un quartier neuf à proximité d'un parc. Possibilité d'y construire une propriété unifamilial."
19891122,Lot for sale,2023-06-20,Active,"Chemin des Galets, Saint-Adolphe-d'Howard",67460 sqft,69900,NO,"0,00",Residential,45.9504459500--74.4007957700,"***Magnifique terrain PLAT bien situé, façade orientée vers le sud A 10 minutes de St Sauveur possible d'être membre de l'association du Lac en Coeur aux couts de 40$ par année embarcations légères, plage. Un rapport pour le test de sol ainsi qu'un plan d'implantation son maintenant disponible, les acheteurs devront valider leurs projets auprès de la municipalité.Le vendeur a obtenu un crédit de 23000 $ de maisons Bonneville transférables au nouvel acheteur, si le nouvel acheteur manifeste un intérêt. Les parties devront s'entendre sur la façon de disposer du montant."
21274712,Lot for sale,2023-06-20,Active,"Rue Non Disponible-Unavailable, Longueuil (Saint-Hubert), Neighbourhood Central",12650 sqft,68000,NO,"0,00",Residential,45.4937560900--73.3892620700,"Opportunity to purchase a vacant double lot of 12,650 square feet for future investment. Zoned to build a single family home. Not possible to build for the moment, as there is no road access or infrastructure. Situated in zone H-256 in St-Hubert, Longueuil near Rue de Chambly, between Rue Grand-Pré and Rue Bernard."
22218031,Lot for sale,2023-06-20,Active,"Rue de Davos, Lac-Sainte-Marie",27449 sqft,125000,YES,"0,00",Residential,45.9392510600--75.8850911600,"horizonstemmarie.com    Several lots for sale in the vicinity of half an acre. Access to municipal water and Bell Fibe. Within minutes walking distance to Mont-Sainte-Marie, Golf Ste-Marie and 5 minutes from the village of Lac-Saint-Marie."
25664605,Lot for sale,2023-06-20,Active,"5, Rue Castel, Bolton-Est",15187 sqft,169000,YES,"0,00",Residential,45.2176554200--72.3133732700,"ACCESS TO LAKE NICK!! Wooded lot of over 15,000 square feet. Easy access to the street and electricity already on the way. Come and see for yourself the tranquility of this area."
28651363,Lot for sale,2023-06-20,Active,"Chemin de la Réserve, Saguenay (Chicoutimi), Neighbourhood Chicoutimi",502782 sqft,325000,YES,"0,00",Residential,48.4138465500--71.1035154400,Grand terrain avec accès à la rivière Chicoutimi - Possibilité de lotissement pur logements multiples.
22176221,Lot for sale,2023-06-20,Active,"Chemin Adrien, Sainte-Lucie-des-Laurentides",43254 sqft,69000,YES,"0,00",Residential,46.1045659500--74.1598026300,"Lot #14 - Beau terrain de 4018 mc (43249 pc) dans le Domaine Plein Soleil. Nature omniprésente. Secteur tranquille et homogène. Orientation soleil en cour avant. Sentier prévu sur le domaine pour la marche, la raquette ou le ski de fond en forêt. Sentier de motoneige à proximité. Conditions de domaine pour préserver l'uniformité."
15108447,Lot for sale,2023-06-20,Active,"760X, Rue Notre-Dame Est, Victoriaville",5975 sqft,339900,YES,"0,00","Commercial, Residential",46.0649630000--71.9416730000,Belle bâtisse commerciale dont le zonage y permet d'y construire une propriété à revenus. Rendez-vous dans la section addenda de la fiche détaillée pour plus de détails ou contactez l'Équipe Houle Danault au 819 552-1402 ou 819 552-8847.
9081403,Lot for sale,2023-06-20,Active,"124, Chemin du Ruisseau, Val-des-Monts, Neighbourhood Saint-Pierre de Wakefield",46923 sqft,45000,NO,"0,00",Residential,45.7162628700--75.7263878800,"1.07 acre wooded land, perfect for the construction of your future home.  118 chemin du ruisseau(right beside) is also for sale and the 2 can be bought together MLS#:22649068"
27912285,Lot for sale,2023-06-20,Active,"Rue des Cimes, Sainte-Adèle, Neighbourhood Mont Rolland",34888 sqft,70000,YES,"0,00",Residential,45.9522076100--74.0812306100,"1 hour from Montreal and 5 min. from the village of Ste-Adele. This area offers an exceptional view, close to golf, skiing, cinema, restaurants and more! Taxes will be added to the price if purchased by an individual and not a business. The acting notary is Me Félix Rochon (voizard, Voizard, Notaries)"
14634686,Lot for sale,2023-06-20,Active,"Rue de l'Edelweiss, Sainte-Agathe-des-Monts",12254 sqft,65000,NO,"0,00",Residential,46.0312750900--74.2505660800,Consult
11620100,Lot for sale,2023-06-20,Active,"10, 5e Rang, Saint-Ambroise, Neighbourhood Saint-Ambroise",3357575 sqft,90000,YES,"0,00","Residential, Resort",48.5722315300--71.3887732200,"Profitez de cette opportunité pour acquérir un terrain/lot à bois à proximité. Situés dans la belle ville de St-Ambroise, ces lots à bois vous offrent un zonage intéressant ! Résidentiel, bi-familiale, Résidentiel-Villégiature ou encore forestier. Que dire de leurs superficies ! De 13900 pc à plus de 3 300 000 pc ! Informez-vous !"
23868008,Lot for sale,2023-06-20,Active,"Rue de la Colonie, Sainte-Adèle, Neighbourhood Sainte-Adèle",28858 sqft,195000,YES,"0,00",Residential,45.9638190200--74.1824054300,"Magnifique terrain No 8 avec vue exceptionnelle des pentes de ski et de la montagne, Topographie en pente douce. Secteur ultra paisible et recherché. Règlements du domaine seront exigés pour préserver la tranquillité et la valeur du secteur. De plus la rue sera asphaltée au frais du vendeur et un espace parc sera réservé pour le domaine. Une oasis de paix pour construire la propriété de vos rêves facile d'accès au coeur de nos belles Laurentides !"
24732858,Lot for sale,2023-06-20,Active,"107Z, Route du Président-Kennedy, Vallée-Jonction",106521 sqft,149000,YES,"0,00","Commercial, Residential",46.3848561700--70.9441872700,Occasion à saisir! Immense potentiel de par sa localisation et son grand terrain résidentiel et commercial de 106 519 pc. Ancienne station-service pouvant être remise en opération (nécessite quelques travaux). Tout projet sera à vérifier auprès des autorités concernées (voir courtier pour zonage et autorisations). Terrain pouvant être fractionnable en 3 lots pour divers projets (maisons et/ou jumelés).  Vente sans garantie légale. Disponible immédiatement. Emplacement de choix!
26638922,Lot for sale,2023-06-20,Active,"32, Chemin des Capucines, Notre-Dame-du-Laus",30002 sqft,89900,NO,"0,00","Residential, Resort",46.1961350000--75.6759110000,"Superbe terrain plat avec droit acquis pour roulotte, il ne faut pas oublié de payer son permis à tous les ans. Vous avez également une remise et une bécosse.Vous êtes à quelqyes pas de la plage Beauroque et vous avez accès à la rivière du Lièvre, 90 km de navigation.Idéal pour construire votre propriété"
28889036,Lot for sale,2023-06-20,Active,"Chemin Saint-Louis, Québec (Sainte-Foy/Sillery/Cap-Rouge), Neighbourhood Cap-Rouge",6436 sqft,314900,NO,"0,00",Residential,46.7520792400--71.3238322800,"WOW! Terrain sur CHEMIN ST-LOUIS de plus de 6 400 p² dans un secteur en forte demande près de tous les services : écoles, parcs, piste cyclable, autobus, épiceries, pharmacies et bien plus. Un des rares terrains restants! VUE PANORAMIQUE sur le FLEUVE Saint-Laurent au 1er étage. Plusieurs possibilités avec plans : Cottage, jumelé, duplex. Services de la ville déjà en place. Faites vite, c'est une belle opportunité à ne pas manquer!"
13939457,Lot for sale,2023-06-20,Active,"Rue Non Disponible-Unavailable, Brownsburg-Chatham",8192 sqft,32900,YES,"0,00",Residential,45.6350727400--74.3980193000,Beau terrain résidentiel de 8192 pc à proximité d'une sortie de l'autoroute 50. 2 autres terrains disponibles dans le même secteur.
19352088,Lot for sale,2023-06-20,Active,"1380, 49e Avenue, Laval (Laval-Ouest)",3999 sqft,249000,NO,"0,00",Residential,45.5563930000--73.8710780000,"WOW! Superbe opportunité à Laval ! Grand terrain de 4000 p2 dans un quartier paisible de Laval-Ouest, près de tous les services. 10 min à pied de la Rivière des Mille-Îles et d'un grand parc. La démolition de la propriété qui est présentement sur le terrain est incluse dans le prix de la vente. Ce terrain est idéal pour votre projet ! À qui la chance ?   **Soyez avisé que le montant de l'évaluation inscrite et les montants des comptes de taxes représentent les 2 lots avant la subdivision de ceux-ci. **"
17216412,Lot for sale,2023-06-20,Active,"Rue Lebeau, Saint-Hippolyte",117099 sqft,249000,NO,"0,00",Residential,45.8640435500--74.0099690500,Grand terrain de plus de 117 000 pieds carrés situé dans un secteur très tranquille de Saint-Hippolyte . Le terrain comprend une magnifique petite cabane à sucre avec tous les équipes pour faire la production de sirop d'érable .Le lieux possède  plus ou moins 300 érables sur le terrain qui est à topographie plat.Une visite s'impose!!!
9356119,Lot for sale,2023-06-20,Active,"3221, Chemin de l'Érablière, Mont-Laurier, Neighbourhood Des Ruisseaux",22369 sqft,125000,NO,"0,00",Residential,46.5412347900--75.6320740900,"Terrain situé sur bord du lac du neuf, 15 minutes de Mont-Terrain situé sur bord du lac du Neuf, 15 minutes de Mont-Laurier, ce terrain possède un petit chalet 3 saisons non isolé installé sur des bloc, sans électricité, et installation septique. Lac du Neuf est vraiment tranquille, aucun moteur, idéal pour le canot, kayac, etc. Amants de la nature vous serez gâtés par cet endroit paisible et calme."
